playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA
aardsda01,2009,1,SEA,AL,3,6,73,0,0,0,38,214,49,20,4,34,80,0.19,2.52
aardsda01,2010,1,SEA,AL,0,6,53,0,0,0,31,149,33,19,5,25,49,0.198,3.44
aasedo01,1981,1,LAA,AL,4,4,39,0,0,0,11,196,56,17,4,24,38,0.234,2.34
aasedo01,1984,1,LAA,AL,4,1,23,0,0,0,8,117,30,7,1,19,28,0.221,1.62
aasedo01,1986,1,BAL,AL,6,7,66,0,0,0,34,245,71,27,6,28,67,0.234,2.98
abadfe01,2010,1,HOU,NL,0,1,22,0,0,0,0,57,14,6,3,5,12,0.2,2.84
abadfe01,2014,1,OAK,AL,2,4,69,0,0,0,0,172,34,10,4,15,51,0.175,1.57
abadfe01,2016,1,MIN,AL,1,4,39,0,0,0,1,102,27,10,2,14,29,0.22,2.65
abbotgl01,1974,1,OAK,AL,5,7,19,17,3,0,0,288,89,32,4,34,38,0.247,3.0
abbotgl01,1983,2,DET,AL,2,1,7,7,1,1,0,140,43,10,5,7,11,0.244,1.93
abbotji01,1991,1,LAA,AL,18,11,34,34,5,1,0,729,222,78,14,73,158,0.244,2.89
abbotji01,1992,1,LAA,AL,7,15,29,29,7,0,0,633,208,65,12,68,130,0.263,2.77
abernte02,1963,1,CLE,AL,7,2,43,0,0,0,12,178,54,19,3,29,47,0.25,2.88
abernte02,1965,1,CHN,NL,4,6,84,0,0,0,31,409,113,39,7,56,104,0.22,2.57
abernte02,1967,1,CIN,NL,6,3,70,0,0,0,28,319,63,15,1,41,88,0.17,1.27
abernte02,1968,1,CIN,NL,10,7,78,0,0,0,13,404,111,37,9,55,64,0.22,2.47
abernte02,1970,2,SLN,NL,1,0,11,0,0,0,1,55,15,6,0,12,8,0.246,2.95
abernte02,1970,3,KCR,AL,9,3,36,0,0,0,12,167,41,16,3,38,49,0.209,2.59
abernte02,1971,1,KCR,AL,4,6,63,0,0,0,23,243,60,23,3,50,55,0.21,2.56
abernte02,1972,1,KCR,AL,3,4,45,0,0,0,5,175,44,11,2,19,28,0.21,1.7
abreubr01,2022,1,HOU,AL,4,0,55,0,0,0,2,181,45,13,2,26,88,0.207,1.94
accarje01,2007,1,TOR,AL,4,4,64,0,0,0,30,202,51,16,4,24,57,0.206,2.14
accarje01,2009,1,TOR,AL,0,0,26,0,0,0,1,74,23,7,2,17,18,0.267,2.55
aceveal01,2008,1,NYA,AL,1,0,6,4,0,0,0,90,25,8,4,10,16,0.227,2.4
aceveal01,2011,1,BOS,AL,10,2,55,4,0,0,2,342,84,33,8,42,80,0.204,2.61
acevejo01,2003,1,CIN,NL,2,0,5,4,1,0,0,81,17,8,3,6,23,0.183,2.67
aceveju01,1998,1,SLN,NL,8,3,50,9,0,0,15,295,83,28,7,29,56,0.236,2.56
aceveju01,2001,2,MIA,NL,2,3,20,0,0,0,0,85,31,8,2,16,21,0.284,2.54
aceveju01,2002,1,DET,AL,1,5,65,0,0,0,28,224,68,22,4,23,43,0.246,2.65
ackerji01,1989,1,ATL,NL,0,6,59,0,0,0,2,293,84,29,5,20,68,0.237,2.67
ackerji01,1989,2,TOR,AL,2,1,14,0,0,0,0,85,24,5,1,12,24,0.235,1.59
ackerto01,1956,1,CIN,NL,4,3,29,7,1,1,1,251,60,22,7,29,54,0.2,2.37
acostcy01,1972,1,CHA,AL,3,0,26,0,0,0,5,104,25,6,2,17,28,0.21,1.56
acostcy01,1973,1,CHA,AL,10,6,48,0,0,0,18,291,66,24,8,39,60,0.194,2.23
acosted01,1971,1,SDN,NL,3,3,8,6,3,1,0,138,43,14,4,7,16,0.246,2.74
acostma01,2007,1,ATL,NL,1,1,21,0,0,0,0,71,13,6,2,14,22,0.165,2.28
acostma01,2010,1,NYN,NL,3,2,41,0,0,0,1,119,30,13,4,18,42,0.219,2.95
adamja01,2019,1,TOR,AL,3,0,23,0,0,0,0,65,15,7,1,10,18,0.2,2.91
